bill_id,bill_number,bioguide_id,vote_position,vote_date,roll_call_number,chamber,party,state,district
,,R000608,Nay,2026-02-25,40,senate,D,NV,
,,R000605,Yea,2026-02-25,40,senate,R,SD,
,,S000033,Nay,2026-02-25,40,senate,I,VT,
,,S001194,Nay,2026-02-25,40,senate,D,HI,
,,S001150,Nay,2026-02-25,40,senate,D,CA,
,,S001227,Yea,2026-02-25,40,senate,R,MO,
,,S000148,Nay,2026-02-25,40,senate,D,NY,
,,S001217,Yea,2026-02-25,40,senate,R,FL,
,,S001184,Yea,2026-02-25,40,senate,R,SC,
,,S001181,Nay,2026-02-25,40,senate,D,NH,
,,S001232,Yea,2026-02-25,40,senate,R,MT,
,,S001208,Nay,2026-02-25,40,senate,D,MI,
,,S001203,Nay,2026-02-25,40,senate,D,MN,
,,S001198,Yea,2026-02-25,40,senate,R,AK,
,,T000250,Yea,2026-02-25,40,senate,R,SD,
,,T000476,Yea,2026-02-25,40,senate,R,NC,
,,T000278,Yea,2026-02-25,40,senate,R,AL,
,,V000128,Nay,2026-02-25,40,senate,D,MD,
,,W000805,Nay,2026-02-25,40,senate,D,VA,
,,W000790,Nay,2026-02-25,40,senate,D,GA,
,,W000817,Nay,2026-02-25,40,senate,D,MA,
,,W000800,Nay,2026-02-25,40,senate,D,VT,
,,W000802,Not Voting,2026-02-25,40,senate,D,RI,
,,W000437,Not Voting,2026-02-25,40,senate,R,MS,
,,W000779,Nay,2026-02-25,40,senate,D,OR,
,,Y000064,Yea,2026-02-25,40,senate,R,IN,
,,A000382,Nay,2026-02-26,42,senate,D,MD,
,,B001230,Nay,2026-02-26,42,senate,D,WI,
,,B001299,Yea,2026-02-26,42,senate,R,IN,
,,B001261,Yea,2026-02-26,42,senate,R,WY,
,,B001267,Nay,2026-02-26,42,senate,D,CO,
,,B001243,Yea,2026-02-26,42,senate,R,TN,
,,B001277,Nay,2026-02-26,42,senate,D,CT,
,,B001303,Nay,2026-02-26,42,senate,D,DE,
,,B001288,Nay,2026-02-26,42,senate,D,NJ,
,,B001236,Yea,2026-02-26,42,senate,R,AR,
,,B001319,Yea,2026-02-26,42,senate,R,AL,
,,B001305,Yea,2026-02-26,42,senate,R,NC,
,,C000127,Yea,2026-02-26,42,senate,D,WA,
,,C001047,Yea,2026-02-26,42,senate,R,WV,
,,C001075,Yea,2026-02-26,42,senate,R,LA,
,,C001035,Yea,2026-02-26,42,senate,R,ME,
,,C001088,Not Voting,2026-02-26,42,senate,D,DE,
,,C001056,Yea,2026-02-26,42,senate,R,TX,
,,C001113,Nay,2026-02-26,42,senate,D,NV,
,,C001095,Yea,2026-02-26,42,senate,R,AR,
,,C001096,Yea,2026-02-26,42,senate,R,ND,
,,C000880,Yea,2026-02-26,42,senate,R,ID,
,,C001098,Yea,2026-02-26,42,senate,R,TX,
,,C001114,Yea,2026-02-26,42,senate,R,UT,
,,D000618,Yea,2026-02-26,42,senate,R,MT,
,,D000622,Nay,2026-02-26,42,senate,D,IL,
,,D000563,Nay,2026-02-26,42,senate,D,IL,
,,E000295,Yea,2026-02-26,42,senate,R,IA,
,,F000479,Yea,2026-02-26,42,senate,D,PA,
,,F000463,Yea,2026-02-26,42,senate,R,NE,
,,G000574,Nay,2026-02-26,42,senate,D,AZ,
,,G000555,Nay,2026-02-26,42,senate,D,NY,
,,G000359,Not Voting,2026-02-26,42,senate,R,SC,
,,G000386,Yea,2026-02-26,42,senate,R,IA,
,,H000601,Yea,2026-02-26,42,senate,R,TN,
,,H001076,Not Voting,2026-02-26,42,senate,D,NH,
,,H001089,Yea,2026-02-26,42,senate,R,MO,
,,H001046,Nay,2026-02-26,42,senate,D,NM,
,,H000273,Nay,2026-02-26,42,senate,D,CO,
,,H001042,Nay,2026-02-26,42,senate,D,HI,
,,H001061,Yea,2026-02-26,42,senate,R,ND,
,,K000394,Nay,2025-01-21,9,senate,D,NJ,
,,H001104,Yea,2026-02-26,42,senate,R,OH,
,,H001079,Yea,2026-02-26,42,senate,R,MS,
,,J000293,Yea,2026-02-26,42,senate,R,WI,
,,J000312,Not Voting,2026-02-26,42,senate,R,WV,
,,K000384,Yea,2026-02-26,42,senate,D,VA,
,,K000377,Yea,2026-02-26,42,senate,D,AZ,
,,K000393,Yea,2026-02-26,42,senate,R,LA,
,,K000394,Nay,2026-02-26,42,senate,D,NJ,
,,K000383,Yea,2026-02-26,42,senate,I,ME,
,,K000367,Yea,2026-02-26,42,senate,D,MN,
,,L000575,Yea,2026-02-26,42,senate,R,OK,
,,L000577,Yea,2026-02-26,42,senate,R,UT,
,,L000570,Nay,2026-02-26,42,senate,D,NM,
,,L000571,Yea,2026-02-26,42,senate,R,WY,
,,M000133,Nay,2026-02-26,42,senate,D,MA,
,,M001198,Yea,2026-02-26,42,senate,R,KS,
,,M000355,Yea,2026-02-26,42,senate,R,KY,
