bioguide_id,official_name,party,state,industry_code,industry_name,total_amount,contribution_count,pct_of_total
V000134,Beth Van Duyne,Republican,TX,B09,Electronics Mfg & Services,1000,1,0.05
V000134,Beth Van Duyne,Republican,TX,N01,Food & Beverage,2500,1,0.13
V000134,Beth Van Duyne,Republican,TX,N09,Lodging/Tourism,2500,1,0.13
V000134,Beth Van Duyne,Republican,TX,A09,Forestry & Forest Products,3500,1,0.19
C001127,Sheila Cherfilus-McCormick,Democratic,FL,H03,Health Services/HMOs,1000,1,0.25
C001127,Sheila Cherfilus-McCormick,Democratic,FL,D01,Defense Aerospace,22500,4,5.55
C001127,Sheila Cherfilus-McCormick,Democratic,FL,B08,Telecom Services & Equipment,6000,3,1.48
C001127,Sheila Cherfilus-McCormick,Democratic,FL,H04,Pharmaceuticals/Health Products,15000,6,3.7
C001127,Sheila Cherfilus-McCormick,Democratic,FL,B12,Computer/Internet,500,1,0.12
C001127,Sheila Cherfilus-McCormick,Democratic,FL,F10,Real Estate,11000,1,2.71
C001127,Sheila Cherfilus-McCormick,Democratic,FL,M02,Automotive,1000,1,0.25
B000668,Cliff Bentz,Republican,OR,F09,Mortgage Bankers & Brokers,3000,1,0.38
B000668,Cliff Bentz,Republican,OR,A09,Forestry & Forest Products,13600,3,1.71
B000668,Cliff Bentz,Republican,OR,H04,Pharmaceuticals/Health Products,12500,8,1.57
B000668,Cliff Bentz,Republican,OR,M02,Automotive,7000,2,0.88
B000668,Cliff Bentz,Republican,OR,D01,Defense Aerospace,12000,2,1.51
B000668,Cliff Bentz,Republican,OR,B08,Telecom Services & Equipment,35000,6,4.41
B000668,Cliff Bentz,Republican,OR,N00,Misc Business,2000,1,0.25
B000668,Cliff Bentz,Republican,OR,C50,Building Materials & Equipment,18000,2,2.27
B000668,Cliff Bentz,Republican,OR,B12,Computer/Internet,3000,2,0.38
B000668,Cliff Bentz,Republican,OR,E01,Oil & Gas,18000,4,2.27
B000668,Cliff Bentz,Republican,OR,H03,Health Services/HMOs,6000,4,0.76
B000668,Cliff Bentz,Republican,OR,H01,Health Professionals,5000,5,0.63
B000668,Cliff Bentz,Republican,OR,F10,Real Estate,11500,1,1.45
B000668,Cliff Bentz,Republican,OR,E12,Electric Utilities,12500,2,1.57
B000668,Cliff Bentz,Republican,OR,E19,Alternative Energy,1000,1,0.13
B000668,Cliff Bentz,Republican,OR,F03,Securities & Investment,9500,2,1.2
B000668,Cliff Bentz,Republican,OR,M01,Air Transport,1000,1,0.13
B000668,Cliff Bentz,Republican,OR,N01,Food & Beverage,7000,1,0.88
F000474,Mike Flood,Republican,NE,F09,Mortgage Bankers & Brokers,125000,14,7.96
F000474,Mike Flood,Republican,NE,F03,Securities & Investment,58000,10,3.69
F000474,Mike Flood,Republican,NE,F10,Real Estate,45014,5,2.87
F000474,Mike Flood,Republican,NE,B08,Telecom Services & Equipment,16750,4,1.07
F000474,Mike Flood,Republican,NE,E19,Alternative Energy,3000,2,0.19
F000474,Mike Flood,Republican,NE,D01,Defense Aerospace,14500,3,0.92
F000474,Mike Flood,Republican,NE,C50,Building Materials & Equipment,10500,1,0.67
F000474,Mike Flood,Republican,NE,B12,Computer/Internet,2000,1,0.13
F000474,Mike Flood,Republican,NE,M01,Air Transport,4000,2,0.25
F000474,Mike Flood,Republican,NE,H03,Health Services/HMOs,3500,2,0.22
F000474,Mike Flood,Republican,NE,E01,Oil & Gas,2000,1,0.13
F000474,Mike Flood,Republican,NE,M02,Automotive,15500,2,0.99
F000474,Mike Flood,Republican,NE,H04,Pharmaceuticals/Health Products,2500,1,0.16
F000474,Mike Flood,Republican,NE,B13,Internet,1000,1,0.06
K000400,Sydney Kamlager-Dove,Democratic,CA,P06,Misc Unions,10000,1,1.43
K000400,Sydney Kamlager-Dove,Democratic,CA,M02,Automotive,3000,1,0.43
L000596,Anna Paulina Luna,Republican,FL,N00,Misc Business,1000,1,0.04
L000596,Anna Paulina Luna,Republican,FL,C50,Building Materials & Equipment,7000,1,0.27
L000596,Anna Paulina Luna,Republican,FL,B08,Telecom Services & Equipment,-2000,1,-0.08
L000596,Anna Paulina Luna,Republican,FL,F10,Real Estate,10000,1,0.39
N000193,Zachary Nunn,Republican,IA,F09,Mortgage Bankers & Brokers,100500,12,0.85
N000193,Zachary Nunn,Republican,IA,M02,Automotive,9000,2,0.08
N000193,Zachary Nunn,Republican,IA,N09,Lodging/Tourism,2500,1,0.02
N000193,Zachary Nunn,Republican,IA,D01,Defense Aerospace,12500,5,0.11
N000193,Zachary Nunn,Republican,IA,N00,Misc Business,8000,1,0.07
N000193,Zachary Nunn,Republican,IA,C50,Building Materials & Equipment,15000,1,0.13
M000194,Nancy Mace,Republican,SC,M01,Air Transport,3500,2,0.13
M000194,Nancy Mace,Republican,SC,D01,Defense Aerospace,22500,6,0.82
M000194,Nancy Mace,Republican,SC,N00,Misc Business,1000,1,0.04
M000194,Nancy Mace,Republican,SC,C50,Building Materials & Equipment,2500,1,0.09
M000194,Nancy Mace,Republican,SC,B12,Computer/Internet,6000,3,0.22
M000194,Nancy Mace,Republican,SC,B08,Telecom Services & Equipment,2500,2,0.09
M000194,Nancy Mace,Republican,SC,E01,Oil & Gas,4500,2,0.16
M000194,Nancy Mace,Republican,SC,F09,Mortgage Bankers & Brokers,12000,5,0.44
M000194,Nancy Mace,Republican,SC,F10,Real Estate,5000,1,0.18
M000194,Nancy Mace,Republican,SC,H03,Health Services/HMOs,10000,1,0.36
M000194,Nancy Mace,Republican,SC,N14,Textiles,2500,1,0.09
M000194,Nancy Mace,Republican,SC,N09,Lodging/Tourism,2500,1,0.09
M000194,Nancy Mace,Republican,SC,F03,Securities & Investment,5000,1,0.18
M000194,Nancy Mace,Republican,SC,A09,Forestry & Forest Products,1000,1,0.04
M000194,Nancy Mace,Republican,SC,H01,Health Professionals,-1000,1,-0.04
F000475,Brad Finstad,Republican,MN,F09,Mortgage Bankers & Brokers,31000,6,2.32
F000475,Brad Finstad,Republican,MN,E19,Alternative Energy,6000,2,0.45
F000475,Brad Finstad,Republican,MN,H04,Pharmaceuticals/Health Products,6000,2,0.45
F000475,Brad Finstad,Republican,MN,F03,Securities & Investment,7500,1,0.56
